Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT
8,167,35,80,72,0,1487.0910000000001,34,1731.004,LESS,-872,1294,422,6,1,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,-0.5379177817320991,-0.7922146651491745
8,168,28,93,80,0,1492.9720000000002,24,654.325,LESS,-808,1232,424,3,2,-13.0,-1.218630998876834,13.0,0.6984302957695783,-0.9737728378283306,-0.7891163759046698
8,169,26,80,90,0,1482.4920000000002,74,1403.4720000000002,LESS,-396,928,532,4,1,10.0,0.9374084606744877,10.0,0.17460757394239457,1.205502442652827,-0.7946375578945366
8,170,25,88,80,1,1957.235,74,1242.813,LESS,440,728,1168,5,2,-8.0,-0.7499267685395902,8.0,-0.17460757394239457,1.205502442652827,-0.5445285405839068
8,171,36,80,70,1,1489.4360000000001,64,1964.7420000000002,LESS,-494,1450,956,4,1,-10.0,-0.9374084606744877,10.0,0.17460757394239457,0.7696473865565954,-0.7909792479959075
8,172,28,80,93,0,1604.745,14,1969.499,LESS,-1002,1736,734,3,2,13.0,1.218630998876834,13.0,0.6984302957695783,-1.4096278939245621,-0.7302309680274374
8,173,21,82,80,0,1681.695,24,1166.53,LESS,-578,1120,542,2,1,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,-0.9737728378283306,-0.6896913731686337
8,174,19,50,41,1,1654.8629999999998,74,725.806,LESS,560,482,1042,3,1,-9.0,-0.843667614607039,9.0,0.0,1.205502442652827,-0.7038272849197894
8,175,56,96,110,0,1608.1589999999999,64,1468.595,LESS,-524,976,452,3,2,14.0,1.3123718449442827,14.0,0.8730378697119728,0.7696473865565954,-0.72843236923799
8,176,23,80,85,0,1337.638,84,1092.205,LESS,-736,1136,400,2,1,5.0,0.46870423033724384,5.0,-0.6984302957695783,1.6413574987490585,-0.870951040333486
8,177,10,60,50,1,2440.471,14,827.8480000000001,LESS,-242,1594,1352,2,1,-10.0,-0.9374084606744877,10.0,0.17460757394239457,-1.4096278939245621,-0.2899451531740456
8,178,19,41,50,0,1575.245,34,1213.155,LESS,-1518,2026,508,3,1,9.0,0.843667614607039,9.0,0.0,-0.5379177817320991,-0.7457724631325017
8,179,56,110,96,0,2015.8229999999999,24,1732.621,LESS,-1658,2160,502,1,2,-14.0,-1.3123718449442827,14.0,0.8730378697119728,-0.9737728378283306,-0.5136626044749062
8,180,35,72,80,0,2109.254,64,1325.0339999999999,LESS,-292,1146,854,3,2,8.0,0.7499267685395902,8.0,-0.17460757394239457,0.7696473865565954,-0.4644403187406259
8,181,11,49,50,0,1834.646,54,1063.9,LESS,-778,1196,418,3,1,1.0,0.09374084606744877,1.0,-1.3968605915391565,0.3337923304603639,-0.6091121454461013
8,182,17,43,50,0,1710.672,54,858.313,LESS,-882,1334,452,1,1,7.0,0.6561859224721414,7.0,-0.34921514788478913,0.3337923304603639,-0.6744254103327201
8,183,1,51,50,0,1792.779,64,1086.181,LESS,-598,1064,466,2,1,-1.0,-0.09374084606744877,1.0,-1.3968605915391565,0.7696473865565954,-0.6311689513974142
8,184,41,112,110,0,1716.701,54,1923.7089999999998,LESS,-726,1162,436,1,2,-2.0,-0.18748169213489754,2.0,-1.2222530175967619,0.3337923304603639,-0.671249150197519
8,185,20,40,50,0,1792.024,64,1791.392,LESS,-1740,2204,464,3,2,10.0,0.9374084606744877,10.0,0.17460757394239457,0.7696473865565954,-0.6315667083060355
8,186,1,50,51,0,3222.881,44,2541.476,LESS,-1800,2974,1174,2,1,1.0,0.09374084606744877,1.0,-1.3968605915391565,-0.10206272563586763,0.12225217513624037
8,187,23,85,80,0,1853.6789999999999,44,1158.598,LESS,-1620,1998,378,2,1,-5.0,-0.46870423033724384,5.0,-0.6984302957695783,-0.10206272563586763,-0.5990849835364507
8,188,11,50,49,0,1256.672,64,762.367,LESS,-364,722,358,2,1,-1.0,-0.09374084606744877,1.0,-1.3968605915391565,0.7696473865565954,-0.9136063858479485
8,189,17,50,43,0,1255.339,34,1198.486,LESS,-588,954,366,3,2,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,-0.5379177817320991,-0.9143086506945605
8,190,21,80,82,0,1437.8429999999998,64,1345.0870000000002,LESS,-1258,1640,382,4,1,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.7696473865565954,-0.818160005858809
8,191,10,50,60,0,1549.129,64,2070.396,LESS,-854,1254,400,2,1,10.0,0.9374084606744877,10.0,0.17460757394239457,0.7696473865565954,-0.7595311643583953
8,192,3,53,50,0,1246.492,74,1818.285,LESS,-696,1080,384,1,2,-3.0,-0.28122253820234633,3.0,-1.0476454436543674,1.205502442652827,-0.9189695187350521
8,193,45,122,110,1,1726.535,64,1365.902,LESS,-22,1102,1080,2,1,-12.0,-1.1248901528093853,12.0,0.5238227218271837,0.7696473865565954,-0.6660683006089357
8,194,38,67,80,0,1176.152,84,1183.264,LESS,-866,1178,312,3,2,13.0,1.218630998876834,13.0,0.6984302957695783,1.6413574987490585,-0.9560267650296361
8,195,38,80,67,1,1661.2679999999998,74,1349.66,LESS,534,564,1098,2,2,-13.0,-1.218630998876834,13.0,0.6984302957695783,1.205502442652827,-0.7004529365757914
8,196,36,70,80,0,1511.4029999999998,54,1078.42,LESS,-796,1164,368,3,2,10.0,0.9374084606744877,10.0,0.17460757394239457,0.3337923304603639,-0.7794063658612314
8,197,45,110,122,0,1570.601,64,714.5189999999999,LESS,-670,1038,368,3,2,12.0,1.1248901528093853,12.0,0.5238227218271837,0.7696473865565954,-0.7482190632432785
8,198,42,110,115,0,1476.527,64,1559.568,LESS,-1330,1744,414,5,1,5.0,0.46870423033724384,5.0,-0.6984302957695783,0.7696473865565954,-0.7977801008878151
8,199,41,110,112,0,1724.6970000000001,54,846.373,LESS,-798,1344,546,2,2,2.0,0.18748169213489754,2.0,-1.2222530175967619,0.3337923304603639,-0.6670366147785327
8,200,53,110,103,0,1499.0839999999998,64,1907.7179999999998,NEXTMORE,-134,1110,976,2,1,-7.0,-0.6561859224721414,7.0,-0.34921514788478913,0.7696473865565954,-0.7858963888510379
8,201,3,50,53,1,3558.772,74,1706.7620000000002,MORE,30,1380,1410,1,2,3.0,0.28122253820234633,3.0,-1.0476454436543674,1.205502442652827,0.2992097457238739
