name,parcode,trial,fix_item,fix_time,rt,block
P22,1,50,2,644.0,2007.957,LESS
P22,1,50,1,404.95700000000033,2007.957,LESS
P22,1,51,0,56.0,3124.5209999999997,LESS
P22,1,51,1,312.0,3124.5209999999997,LESS
P22,1,51,1,434.0,3124.5209999999997,LESS
P22,1,51,1,216.0,3124.5209999999997,LESS
P22,1,51,2,472.0,3124.5209999999997,LESS
P22,1,51,2,254.0,3124.5209999999997,LESS
P22,1,51,1,528.0,3124.5209999999997,LESS
P22,1,51,1,480.0,3124.5209999999997,LESS
P22,1,51,2,372.52099999999973,3124.5209999999997,LESS
P22,1,52,0,215.0,1978.076,LESS
P22,1,52,1,338.0,1978.076,LESS
P22,1,52,1,302.0,1978.076,LESS
P22,1,52,2,460.0,1978.076,LESS
P22,1,52,2,236.0,1978.076,LESS
P22,1,52,1,427.076,1978.076,LESS
P22,1,53,3,119.0,1978.076,LESS
P22,1,53,1,244.0,2508.548,LESS
P22,1,53,1,520.0,2508.548,LESS
P22,1,53,2,586.0,2508.548,LESS
P22,1,53,1,482.0,2508.548,LESS
P22,1,53,1,156.0,2508.548,LESS
P22,1,53,2,401.5479999999998,2508.548,LESS
P22,1,54,0,243.0,3907.2459999999996,LESS
P22,1,54,1,456.0,3907.2459999999996,LESS
P22,1,54,1,140.0,3907.2459999999996,LESS
P22,1,54,2,482.0,3907.2459999999996,LESS
P22,1,54,2,242.0,3907.2459999999996,LESS
P22,1,54,1,524.0,3907.2459999999996,LESS
P22,1,54,1,254.0,3907.2459999999996,LESS
P22,1,54,2,482.0,3907.2459999999996,LESS
P22,1,54,2,304.0,3907.2459999999996,LESS
P22,1,54,1,384.0,3907.2459999999996,LESS
P22,1,54,2,396.24599999999964,3907.2459999999996,LESS
P22,1,55,0,4.0,3482.062,LESS
P22,1,55,1,188.0,3482.062,LESS
P22,1,55,1,462.0,3482.062,LESS
P22,1,55,1,532.0,3482.062,LESS
P22,1,55,2,464.0,3482.062,LESS
P22,1,55,2,392.0,3482.062,LESS
P22,1,55,2,194.0,3482.062,LESS
P22,1,55,1,500.0,3482.062,LESS
P22,1,55,1,332.0,3482.062,LESS
P22,1,55,2,414.0619999999999,3482.062,LESS
P22,1,56,0,177.0,1823.3770000000002,LESS
P22,1,56,1,320.0,1823.3770000000002,LESS
P22,1,56,1,274.0,1823.3770000000002,LESS
P22,1,56,2,544.0,1823.3770000000002,LESS
P22,1,56,2,66.0,1823.3770000000002,LESS
P22,1,56,1,442.3770000000002,1823.3770000000002,LESS
P22,1,57,0,205.0,5111.944,LESS
P22,1,57,1,270.0,5111.944,LESS
P22,1,57,1,340.0,5111.944,LESS
P22,1,57,1,458.0,5111.944,LESS
P22,1,57,1,334.0,5111.944,LESS
P22,1,57,1,330.0,5111.944,LESS
P22,1,57,1,306.0,5111.944,LESS
P22,1,57,2,318.0,5111.944,LESS
P22,1,57,2,418.0,5111.944,LESS
P22,1,57,1,448.0,5111.944,LESS
P22,1,57,1,312.0,5111.944,LESS
P22,1,57,2,608.0,5111.944,LESS
P22,1,57,1,402.0,5111.944,LESS
P22,1,57,1,362.9440000000004,5111.944,LESS
P22,1,58,0,49.0,4920.474,LESS
P22,1,58,1,184.0,4920.474,LESS
P22,1,58,1,358.0,4920.474,LESS
P22,1,58,1,318.0,4920.474,LESS
P22,1,58,2,356.0,4920.474,LESS
P22,1,58,2,394.0,4920.474,LESS
P22,1,58,1,500.0,4920.474,LESS
P22,1,58,1,432.0,4920.474,LESS
P22,1,58,1,410.0,4920.474,LESS
P22,1,58,1,332.0,4920.474,LESS
P22,1,58,1,480.0,4920.474,LESS
P22,1,58,2,736.0,4920.474,LESS
P22,1,58,1,371.47400000000016,4920.474,LESS
P22,1,59,0,189.0,1869.935,LESS
P22,1,59,1,302.0,1869.935,LESS
P22,1,59,1,294.0,1869.935,LESS
P22,1,59,2,410.0,1869.935,LESS
P22,1,59,2,232.0,1869.935,LESS
P22,1,59,1,442.93499999999995,1869.935,LESS
P22,1,60,0,149.0,1705.8110000000001,LESS
P22,1,60,1,304.0,1705.8110000000001,LESS
P22,1,60,1,270.0,1705.8110000000001,LESS
P22,1,60,2,566.0,1705.8110000000001,LESS
P22,1,60,1,416.81100000000015,1705.8110000000001,LESS
P22,1,61,0,285.0,3083.54,LESS
P22,1,61,1,238.0,3083.54,LESS
P22,1,61,1,664.0,3083.54,LESS
P22,1,61,2,510.0,3083.54,LESS
P22,1,61,2,228.0,3083.54,LESS
P22,1,61,1,500.0,3083.54,LESS
P22,1,61,1,658.54,3083.54,LESS
P22,1,62,0,234.0,2474.714,LESS
P22,1,62,1,414.0,2474.714,LESS
P22,1,62,1,354.0,2474.714,LESS
P22,1,62,1,214.0,2474.714,LESS
P22,1,62,2,452.0,2474.714,LESS
P22,1,62,2,348.0,2474.714,LESS
P22,1,62,1,458.71399999999994,2474.714,LESS
P22,1,63,0,46.0,2272.349,LESS
P22,1,63,1,172.0,2272.349,LESS
P22,1,63,1,374.0,2272.349,LESS
P22,1,63,1,290.0,2272.349,LESS
P22,1,63,2,878.0,2272.349,LESS
P22,1,63,1,512.3490000000002,2272.349,LESS
P22,1,64,0,214.0,3790.48,LESS
P22,1,64,1,814.0,3790.48,LESS
P22,1,64,2,516.0,3790.48,LESS
P22,1,64,2,238.0,3790.48,LESS
P22,1,64,1,566.0,3790.48,LESS
P22,1,64,1,374.0,3790.48,LESS
P22,1,64,2,518.0,3790.48,LESS
P22,1,64,2,282.0,3790.48,LESS
P22,1,64,1,268.48,3790.48,LESS
